INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
CASA CON TERRAZZA RIONE MONTI;Categoria 2;VIA DEI CIANCALEONI, 36;Mun. I;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
LETIZIA;Categoria 2;VICOLO DELLA TORRETTA, 59;Mun. I;Casa Vacanze NON impr (Appartamento);;3;;;;;3;6;0;0
CASA E APPARTAMENTO PER VACANZE IN FRONT OF COLOSSEO;Categoria 2;VIA DELLA POLVERIERA, 37;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
GIANICOLO HOME GARDEN;Categoria 2;VIA RAFFAELLO GIOVAGNOLI, 8;Mun. XII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
PURIFICAZIONE HI-TECH;Categoria 1;VIA DELLA PURIFICAZIONE, 69;Mun. I;Casa Vacanze NON impr (Appartamento);2;1;1;0;0;0;4;7;0;0
TOO ROME;Categoria 4;VIA DEI CAPPELLARI, 98;Mun. I;Casa Vacanze NON impr (Appartamento);1;;0;0;0;0;1;1;0;0
casa e appartamento per vacanze ROMADAYS;Categoria 2;VIA CIPRO, 47;Mun. I;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
ALBIREO;Categoria 2;VIALE GIULIO CESARE, 51;Mun. I;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
CASA UMBERTO CASA E APPARTAMENTO PER VACANZE;Categoria 1;VIA BUONARROTI, 40;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE  A DUE PASSI DA PIAZZA DEL POPOLO;Categoria 2;VIA MATTEO RENATO IMBRIANI, 13;Mun. II;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
Casa e appartamento per vacanze CASA POMA;Categoria 2;VIA CARLO POMA, 4;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE ROMA MARE;Categoria 2;VIA DELLE SIRENE, 19;Mun. X;Casa Vacanze NON impr (Appartamento);2;1;;;;;3;4;0;0
PLUMBIRD BOUTIQUE & APARTMENT;Categoria 2;VIA CAMPELLO SUL CLITUNNO, 20;Mun. VII;Casa Vacanze NON impr (Appartamento);1;2;;;;;3;5;0;0
ST PAUL HOUSE BOUTIQUE & APARTMENT;Categoria 2;VIALE CARLO FELICE, 89;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;1;;;;3;6;0;0
ROMELY HOUSE TRASTEVERE APARTMENT;Categoria 1;VIA DELLE MANTELLATE, 19;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
AURELIA BEST SUITE;Categoria 3;VIA AURELIA, 429;Mun. XIII;Casa Vacanze NON impr (Appartamento);2;1;0;0;0;0;3;4;0;0
Fiorentini Charme;Categoria 2;VICOLO ORBITELLI, 15;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
HOUSE SANT'ANGELO GREAT VIEW;Categoria 2;PIAZZA DELLA ROVERE, 104;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
LATERANO SPECIAL;Categoria 2;VIA CORFINIO, 9;Mun. VII;Casa Vacanze NON impr (Appartamento);1;2;;;;;3;5;0;0
